Sales,Price,Feature,Display,Price - Competitor 1,Price - Competitor 2,Price - Competitor 3,Price - Competitor 4,Price - Competitor 5
69,5.89,0,0,3.94,3.65,5.00,4.08,3.29
79,5.32,0,1,4.19,3.58,5.00,3.89,3.25
40,5.79,0,0,3.94,3.81,5.00,4.59,2.00
36,4.99,1,0,3.94,3.96,5.99,3.66,3.19
112,5.79,1,1,3.94,4.16,5.99,5.19,3.39
64,6.25,0,0,4.19,4.43,6.29,5.39,2.80
31,5.98,0,0,3.94,4.10,6.39,4.47,2.50
62,6.29,0,0,3.94,3.91,5.05,4.67,2.75
783,4.11,1,1,3.94,3.51,5.99,4.13,3.29
72,5.59,1,0,4.19,3.91,5.41,5.00,3.19
14,5.69,0,0,3.94,3.36,5.98,3.50,3.29
55,5.20,0,0,3.94,4.10,5.99,3.00,3.19
18,5.33,0,0,4.19,3.56,5.99,4.61,2.39
32,5.89,0,0,4.19,3.83,5.99,4.21,2.50
20,5.89,0,0,4.19,3.93,5.99,4.93,2.20
40,5.79,0,0,3.94,3.59,5.00,4.18,3.79
45,6.49,0,0,4.19,3.53,6.49,4.88,2.99
62,5.67,0,0,4.19,3.82,6.19,4.23,2.27
79,5.48,0,0,4.19,3.44,5.68,3.82,2.83
31,6.22,0,0,4.19,4.03,6.39,2.50,3.89
74,6.24,0,0,4.19,4.29,6.29,5.19,2.80
98,5.04,1,1,3.94,2.80,5.99,5.19,3.06
100,4.99,1,0,3.94,3.31,5.68,4.21,3.09
34,5.69,0,0,4.19,3.74,5.00,4.75,3.29
62,5.89,0,0,4.19,3.67,5.00,4.43,2.50
35,5.78,0,0,3.94,2.93,4.53,3.49,3.09
37,5.99,0,0,3.94,3.43,5.39,4.32,3.49
49,6.19,0,0,3.94,3.56,5.00,4.71,3.69
9,5.89,0,0,4.19,4.37,5.99,4.89,3.49
79,5.74,0,0,3.94,3.71,6.39,4.66,2.28
273,5.30,1,1,4.20,3.85,5.86,4.62,1.80
127,5.11,0,1,4.20,3.96,5.99,4.83,3.29
55,6.19,0,0,3.93,4.37,5.01,3.52,3.06
41,6.19,0,0,3.93,4.39,5.02,3.39,2.59
322,5.03,1,1,4.20,3.99,6.09,5.24,2.52
48,5.53,0,0,4.20,3.41,4.44,5.13,2.96
66,4.45,0,0,4.20,3.59,5.99,5.49,3.59
107,5.62,0,0,4.20,3.49,4.25,4.31,2.53
26,5.99,0,0,4.20,3.41,4.44,4.99,2.96
33,5.94,0,0,4.20,3.69,5.49,4.27,3.49
128,5.99,1,1,3.93,3.32,5.39,4.65,3.49
114,5.99,1,1,3.93,3.19,5.47,4.65,3.49
19,6.22,0,0,3.93,4.25,6.39,5.98,3.89
45,6.28,0,0,4.20,3.78,6.39,5.49,3.89
53,6.13,0,0,4.20,3.58,5.00,3.85,2.95
527,4.39,1,1,4.20,3.67,5.99,4.87,2.60
33,6.29,0,0,3.93,3.46,6.49,3.71,3.79
34,5.87,0,0,3.93,4.29,6.33,4.51,2.11
